policy_name,action,feature,coef_mean,coef_abs_mean
entry_bad_risk_head,bad_entry_risk,mae_from_open_pct,-0.269095,0.269095
entry_bad_risk_head,bad_entry_risk,return_from_open_pct,-0.174465,0.174465
entry_bad_risk_head,bad_entry_risk,last_15m_range_pct,0.094717,0.094717
entry_bad_risk_head,bad_entry_risk,last_hour_range_pct,0.085184,0.085184
entry_bad_risk_head,bad_entry_risk,distance_from_vwap_pct,-0.064356,0.064356
entry_bad_risk_head,bad_entry_risk,is_etf_intraday_available,0.057034,0.057034
entry_bad_risk_head,bad_entry_risk,sector_tech,-0.050157,0.050157
entry_bad_risk_head,bad_entry_risk,last_hour_ret_pct,-0.045504,0.045504
entry_bad_risk_head,bad_entry_risk,is_etf_last_15m_available,0.04349,0.04349
entry_bad_risk_head,bad_entry_risk,kumo_rank_by_score,-0.043293,0.043293
entry_bad_risk_head,bad_entry_risk,gap_from_prior_close_pct,0.037478,0.037478
entry_bad_risk_head,bad_entry_risk,sector_financials,0.032622,0.032622
entry_bad_risk_head,bad_entry_risk,sector_utilities,0.031191,0.031191
entry_bad_risk_head,bad_entry_risk,last_15m_ret_pct,-0.02603,0.02603
entry_bad_risk_head,bad_entry_risk,sector_healthcare,0.024795,0.024795
entry_bad_risk_head,bad_entry_risk,mfe_from_open_pct,0.010648,0.022276
entry_bad_risk_head,bad_entry_risk,sector_energy,0.020064,0.021236
entry_bad_risk_head,bad_entry_risk,sector_ai_semis,0.019201,0.019201
entry_bad_risk_head,bad_entry_risk,is_etf_last_hour_available,0.018992,0.018992
entry_bad_risk_head,bad_entry_risk,etf_mfe_from_open_pct,-0.017005,0.017005
entry_bad_risk_head,bad_entry_risk,is_intraday_available,0.015108,0.015108
entry_bad_risk_head,bad_entry_risk,checkpoint_open,0.014271,0.014271
entry_bad_risk_head,bad_entry_risk,last_15m_volume_log,0.00872,0.013964
entry_bad_risk_head,bad_entry_risk,etf_volume_so_far_log,-0.013477,0.013477
entry_bad_risk_head,bad_entry_risk,etf_last_15m_ret_pct,0.012465,0.012465
entry_bad_risk_head,bad_entry_risk,kumo_score,-0.006802,0.012394
entry_bad_risk_head,bad_entry_risk,is_last_15m_available,-0.01238,0.01238
