policy_name,action,feature,coef_mean,coef_abs_mean
entry_policy,avoid_bad_entry,mae_from_open_pct,-0.347881,0.347881
entry_policy,avoid_bad_entry,return_from_open_pct,-0.180608,0.180608
entry_policy,avoid_bad_entry,last_15m_range_pct,0.139578,0.139578
entry_policy,avoid_bad_entry,last_hour_range_pct,0.127617,0.127617
entry_policy,avoid_bad_entry,is_etf_intraday_available,0.099859,0.099859
entry_policy,avoid_bad_entry,is_etf_last_15m_available,0.075394,0.075394
entry_policy,avoid_bad_entry,mfe_from_open_pct,0.067383,0.067383
entry_policy,avoid_bad_entry,distance_from_vwap_pct,-0.065143,0.065143
entry_policy,avoid_bad_entry,kumo_rank_by_score,-0.061953,0.061953
entry_policy,avoid_bad_entry,gap_from_prior_close_pct,0.050552,0.050552
entry_policy,avoid_bad_entry,last_hour_ret_pct,-0.045039,0.045039
entry_policy,avoid_bad_entry,sector_financials,0.039505,0.039505
entry_policy,avoid_bad_entry,sector_tech,-0.037307,0.037307
entry_policy,avoid_bad_entry,is_etf_last_hour_available,0.036695,0.036695
entry_policy,avoid_bad_entry,sector_healthcare,0.03585,0.03585
entry_policy,avoid_bad_entry,sector_utilities,0.033113,0.033113
entry_policy,avoid_bad_entry,sector_ai_semis,0.026574,0.026574
entry_policy,avoid_bad_entry,last_15m_ret_pct,-0.026424,0.026424
entry_policy,avoid_bad_entry,etf_volume_so_far_log,-0.026156,0.026156
entry_policy,avoid_bad_entry,sector_energy,0.025675,0.025675
entry_policy,avoid_bad_entry,is_intraday_available,0.025605,0.025605
entry_policy,avoid_bad_entry,etf_bars_completed,0.023991,0.023991
entry_policy,avoid_bad_entry,etf_mfe_from_open_pct,-0.023748,0.023748
entry_policy,avoid_bad_entry,sector_industrials,0.011543,0.023093
entry_policy,avoid_bad_entry,last_15m_volume_log,0.016038,0.022096
entry_policy,avoid_bad_entry,checkpoint_open,0.019091,0.019091
entry_policy,avoid_bad_entry,etf_mae_from_open_pct,0.018381,0.018381
entry_policy,avoid_bad_entry,kumo_score,-0.018089,0.018089
entry_policy,avoid_bad_entry,sector_materials,0.017449,0.017449
entry_policy,avoid_bad_entry,is_last_15m_available,-0.015902,0.015902
entry_policy,avoid_bad_entry,volume_so_far_log,-0.014903,0.014903
entry_policy,avoid_bad_entry,etf_last_15m_ret_pct,0.013354,0.013354
entry_policy,avoid_bad_entry,etf_distance_from_vwap_pct,-0.011484,0.011484
entry_policy,avoid_bad_entry,source_bucket_kumo_only,-0.011329,0.011329
entry_policy,avoid_bad_entry,etf_last_hour_ret_pct,0.009844,0.009844
entry_policy,avoid_bad_entry,sector_real_estate,0.002036,0.009769
entry_policy,avoid_bad_entry,is_last_hour_available,-0.009543,0.009543
